start_station_name,end_station_name,day,parts_of_day,duration_minutes,month,subscriber_type,year,start_hour,count
Long Center @ South 1st & Riverside,City Hall / Lavaca & 2nd,5,early afternoon,18.625766871165645,3,Local365,2015.2515337423313,14.905930470347649,978
Barton Springs & Riverside,Barton Springs @ Kinney Ave,5,late morning,17.067692307692308,10,Walk Up,2015.3384615384616,13.73025641025641,975
Barton Springs Pool,Barton Springs @ Kinney Ave,5,late afternoon,21.998972250770812,7,Walk Up,2015.5364850976362,14.95169578622816,973
Convention Center / 4th St. @ MetroRail,Davis at Rainey Street,5,evening,15.511363636363637,3,Walk Up,2015.2892561983472,15.662190082644628,968
MoPac Pedestrian Bridge @ Veterans Drive,Riverside @ S. Lamar,5,late afternoon,31.519131334022752,5,Walk Up,2016.3102378490175,14.175801447776628,967
4th & Congress,Plaza Saltillo,2,late afternoon,11.526915113871636,3,Local365,2015.5186335403728,15.700828157349896,966
2nd & Congress,Convention Center / 4th St. @ MetroRail,3,late afternoon,15.064583333333333,3,Local365,2015.2322916666667,15.704166666666667,960
Davis at Rainey Street,City Hall / Lavaca & 2nd,5,late afternoon,21.04646251319958,3,Walk Up,2015.335797254488,15.061246040126717,947
Long Center @ South 1st & Riverside,Riverside @ S. Lamar,5,early afternoon,26.472668810289388,3,Walk Up,2015.534833869239,14.487674169346196,933
2nd & Congress,Rainey St @ Cummings,5,late afternoon,18.806243272335845,10,Walk Up,2015.599569429494,14.702906350914962,929
Barton Springs & Riverside,Convention Center / 4th St. @ MetroRail,1,late afternoon,14.367965367965368,3,Local365,2015.2045454545455,14.984848484848484,924
Pfluger Bridge @ W 2nd Street,4th & Congress,4,early morning,13.511500547645126,10,Local365,2015.2420591456737,12.369112814895947,913
Riverside @ S. Lamar,Long Center @ South 1st & Riverside,5,late afternoon,27.90297684674752,3,Walk Up,2015.427783902977,15.061742006615216,907
Davis at Rainey Street,Red River & 8th Street,5,late afternoon,17.4390243902439,3,Walk Up,2015.5620842572062,15.82039911308204,902
3rd & West,2nd & Congress,4,late morning,9.436182019977803,3,Local365,2015.7968923418423,11.890122086570477,901
Long Center @ South 1st & Riverside,4th & Congress,4,late morning,12.527252502780868,3,Local365,2015.2647385984428,13.327030033370411,899
City Hall / Lavaca & 2nd,8th & Congress,4,early afternoon,17.32329988851728,3,Annual Membership (Austin B-cycle),2014.6688963210702,13.333333333333334,897
2nd & Congress,Capitol Station / Congress & 11th,5,early afternoon,20.048423423423422,7,Walk Up,2015.2331081081081,13.993243243243244,888
Trinity & 6th Street,Davis at Rainey Street,4,late afternoon,20.353279631760646,3,Walk Up,2015.3417721518988,15.432681242807826,869
Riverside @ S. Lamar,5th & Bowie,5,early afternoon,17.242707117852976,3,Walk Up,2015.369894982497,15.26487747957993,857
Rainey St @ Cummings,Pfluger Bridge @ W 2nd Street,6,early afternoon,23.743259085580306,5,Walk Up,2015.5662368112544,13.698710433763189,853
8th & Congress,Convention Center / 4th St. @ MetroRail,2,late afternoon,17.477139507620166,3,Local365,2015.398593200469,15.354044548651817,853
South Congress & Academy,4th & Congress,5,early afternoon,20.120141342756185,3,Walk Up,2015.1802120141342,14.208480565371024,849
Palmer Auditorium,City Hall / Lavaca & 2nd,5,evening,20.45670225385528,3,Walk Up,2015.2953736654804,14.875444839857652,843
4th & Congress,South Congress & Academy,5,late afternoon,24.558472553699286,3,Walk Up,2015.2804295942722,14.138424821002387,838
Convention Center / 4th St. @ MetroRail,2nd & Congress,5,early afternoon,20.40216086434574,3,Walk Up,2015.4981992797118,13.680672268907562,833
Zilker Park,Barton Springs @ Kinney Ave,5,late afternoon,28.54326923076923,10,Walk Up,2016.1766826923076,15.518028846153847,832
Convention Center / 4th St. @ MetroRail,3rd & West,2,late morning,11.076829268292682,3,Local365,2015.8048780487804,12.06341463414634,820
Rainey St @ Cummings,Convention Center / 3rd & Trinity,5,late morning,16.816625916870414,3,Walk Up,2015.7286063569682,13.360635696821516,818
Barton Springs & Riverside,City Hall / Lavaca & 2nd,5,early afternoon,15.901960784313726,3,Local365,2015.112745098039,13.82843137254902,816
4th & Congress,South Congress & James,5,early afternoon,24.641975308641975,3,Walk Up,2014.9506172839506,14.295061728395062,810
2nd & Congress,South Congress & Elizabeth,5,early afternoon,23.879652605459057,3,Walk Up,2015.3970223325061,14.181141439205955,806
Zilker Park,Riverside @ S. Lamar,6,early afternoon,35.896894409937886,3,Walk Up,2016.1490683229813,14.563975155279502,805
2nd & Congress,Riverside @ S. Lamar,5,early afternoon,27.69489414694894,3,Walk Up,2015.398505603985,13.79950186799502,803
Riverside @ S. Lamar,2nd & Congress,5,late afternoon,27.49376558603491,3,Walk Up,2015.3329177057356,14.731920199501246,802
Convention Center / 4th St. @ MetroRail,8th & Congress,0,late morning,17.247461928934012,3,Local365,2015.2994923857868,10.98984771573604,788
City Hall / Lavaca & 2nd,Pfluger Bridge @ W 2nd Street,5,evening,15.6,3,Annual Membership (Austin B-cycle),2014.9605095541401,14.946496815286624,785
Red River & 8th Street,Convention Center / 4th St. @ MetroRail,4,late morning,13.2,3,Local30,2015.676433121019,12.968152866242038,785
Plaza Saltillo,Convention Center / 4th St. @ MetroRail,5,late afternoon,14.14030612244898,3,Walk Up,2015.5191326530612,14.302295918367347,784
5th & Bowie,3rd & West,5,evening,11.222365038560412,7,Local365,2015.2814910025706,15.259640102827763,778
5th & Bowie,Barton Springs @ Kinney Ave,5,late afternoon,18.128865979381445,10,Walk Up,2015.5309278350514,15.387886597938145,776
4th & Congress,Davis at Rainey Street,5,evening,20.140463917525775,3,Walk Up,2015.264175257732,16.33118556701031,776
5th & San Marcos,4th & Congress,3,early morning,9.994845360824742,3,Local30,2015.528350515464,11.52319587628866,776
Convention Center / 3rd & Trinity,Rainey St @ Cummings,6,late afternoon,20.8,3,Walk Up,2015.836129032258,14.121290322580645,775
Barton Springs @ Kinney Ave,City Hall / Lavaca & 2nd,4,late afternoon,19.583441138421733,3,Walk Up,2015.3803363518757,13.798188874514878,773
Capitol Station / Congress & 11th,Bullock Museum @ Congress & MLK,5,early afternoon,25.022135416666668,5,Walk Up,2015.1861979166667,13.87109375,768
Rainey St @ Cummings,Davis at Rainey Street,5,late afternoon,32.963541666666664,10,Walk Up,2015.6236979166667,14.93359375,768
Riverside @ S. Lamar,MoPac Pedestrian Bridge @ Veterans Drive,5,early afternoon,28.2911227154047,7,Walk Up,2016.3355091383812,14.45691906005222,766
5th & Bowie,8th & Congress,0,early morning,12.668414154652687,3,Local365,2014.8833551769333,11.714285714285714,763
5th & Bowie,Riverside @ S. Lamar,5,early afternoon,16.200797872340427,5,Walk Up,2015.3231382978724,14.61436170212766,752
Rainey St @ Cummings,4th & Congress,3,late morning,18.30093209054594,3,Local365,2015.8468708388814,12.607190412782955,751
2nd & Congress,City Hall / Lavaca & 2nd,6,late afternoon,32.16219839142091,3,Walk Up,2015.2439678284181,14.294906166219839,746
4th & Congress,Long Center @ South 1st & Riverside,4,late afternoon,12.585234899328858,3,Local365,2015.2577181208053,15.424161073825504,745
Pfluger Bridge @ W 2nd Street,Barton Springs @ Kinney Ave,5,late afternoon,17.33512786002692,10,Walk Up,2015.5518169582772,15.227456258411843,743
5th & Bowie,Convention Center / 3rd & Trinity,4,late afternoon,12.958108108108108,3,Walk Up,2015.754054054054,14.491891891891893,740
Plaza Saltillo,Capital Metro HQ - East 5th at Broadway,4,early morning,14.855405405405405,1,Local365,2015.8513513513512,8.39054054054054,740
Republic Square @ Guadalupe & 4th St.,Convention Center / 4th St. @ MetroRail,4,late afternoon,11.75236806495264,3,Annual Membership (Austin B-cycle),2014.4519621109607,14.809201623815968,739
South Congress & James,4th & Congress,5,late afternoon,26.579019073569484,3,Walk Up,2015.0354223433242,15.158038147138965,734
South Congress & Elizabeth,4th & Congress,4,early morning,19.226466575716234,3,Walk Up,2015.4038199181446,12.462482946793997,733
Pfluger Bridge @ W 2nd Street,Rainey St @ Cummings,6,early afternoon,26.394520547945206,10,Walk Up,2015.5027397260274,14.524657534246575,730
